id;sport;natura;lavoro;durata
1;Handmade fuchsia;AEROBICO;North Carolina infomediaries Chief;81744
2;frictionless solution-oriented;AEROBICO;Money Market Account users Guinea;43612
3;context-sensitive Metrics transmit;AEROBICO;Cambridgeshire Central;79985
4;supply-chains;AEROBICO;Peru withdrawal Down-sized;13935
5;navigating Liaison;AEROBICO;Sports Global Soft;57651
6;actuating India;AEROBICO;Games;13688
7;Future;AEROBICO;Towels Internal;41877
8;drive Ireland;AEROBICO;microchip Ergonomic Auto Loan Account;24534
9;generate;AEROBICO;monitor methodology West Virginia;47605
10;invoice Research;AEROBICO;Auto Loan Account;5142
