id;data_prova;tempo;partenza_blocchi;vel_max;commento;cond_climatiche;calciatore_id
1;2019-05-27T15:36:28;45454;true;62755;SCARSO;Unbranded Cotton Table Generic B2B;2
2;2019-05-27T18:09:38;64684;false;38826;SCARSO;Engineer Architect;7
3;2019-05-27T21:54:00;53609;false;30952;SCARSO;Frozen;1
4;2019-05-27T02:56:05;94053;true;41663;SCARSO;EXE Rustic Steel Shirt drive;9
5;2019-05-27T11:08:48;98727;true;15041;SCARSO;transmitting Tennessee Practical Steel Shirt;2
6;2019-05-27T16:06:50;1367;false;7535;SCARSO;Monaco input Accounts;9
7;2019-05-27T13:36:26;24734;false;45054;SCARSO;mission-critical white SMTP;8
8;2019-05-27T07:50:26;4689;false;26867;SCARSO;Kyrgyz Republic transmit;6
9;2019-05-27T15:17:20;85218;true;55190;SCARSO;Burg;5
10;2019-05-27T04:33:09;78466;true;63936;SCARSO;seamless New York mesh;5
